Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Tokyo,2020,100,Backstroke,0,Men,ROC,Evgeny Rylov,51.98,1
Tokyo,2020,100,Backstroke,0,Men,ROC,Kliment Kolesnikov,52,2
Tokyo,2020,100,Backstroke,0,Men,USA,Ryan Murphy,52.19,3
Tokyo,2020,100,Backstroke,0,Men,ITA,Thomas Ceccon,52.3,4
Tokyo,2020,100,Backstroke,0,Men,CHN,Jiayu Xu,52.51,4
Tokyo,2020,100,Backstroke,0,Men,ESP,Hugo Gonzalez De Oliveira,52.78,4
Tokyo,2020,100,Backstroke,0,Men,AUS,Mitchell Larkin,52.79,4
Tokyo,2020,100,Backstroke,0,Men,ROU,Robert Glinta,52.95,4
Tokyo,2020,100,Breaststroke,0,Men,GBR,Adam Peaty,57.37,1
Tokyo,2020,100,Breaststroke,0,Men,NED,Arno Kamminga,58,2
Tokyo,2020,100,Breaststroke,0,Men,ITA,Nicolo Martinenghi,58.33,3
Tokyo,2020,100,Breaststroke,0,Men,USA,Michael Andrew,58.84,4
Tokyo,2020,100,Breaststroke,0,Men,GBR,James Wilby,58.96,4
Tokyo,2020,100,Breaststroke,0,Men,CHN,Zibei Yan,58.99,4
Tokyo,2020,100,Breaststroke,0,Men,USA,Andrew Wilson,58.99,4
Tokyo,2020,100,Breaststroke,0,Men,BLR,Ilya Shymanovich,59.36,4
Tokyo,2020,100,Butterfly,0,Men,USA,Caeleb Dressel,49.45,1
Tokyo,2020,100,Butterfly,0,Men,HUN,Kristof Kristof Milak,49.68,2
Tokyo,2020,100,Butterfly,0,Men,SUI,Noe Ponti,50.74,3
Tokyo,2020,100,Butterfly,0,Men,ROC,Andrei Minakov,50.88,4
Tokyo,2020,100,Butterfly,0,Men,POL,Jakub Majerski,50.92,4
Tokyo,2020,100,Butterfly,0,Men,AUS,Matthew Temple,50.92,4
Tokyo,2020,100,Butterfly,0,Men,GUA,Luis Martinez,51.09,4
Tokyo,2020,100,Butterfly,0,Men,BUL,Josif Miladinov,51.49,4
Tokyo,2020,100,Freestyle,0,Men,USA,Caeleb Dressel,47.02,1
Tokyo,2020,100,Freestyle,0,Men,AUS,Kyle Chalmers,47.08,2
Tokyo,2020,100,Freestyle,0,Men,ROC,Kliment Kolesnikov,47.44,3
Tokyo,2020,100,Freestyle,0,Men,FRA,Maxime Grousset,47.72,4
Tokyo,2020,100,Freestyle,0,Men,KOR,Sunwoo Hwang,47.82,4
Tokyo,2020,100,Freestyle,0,Men,ITA,Alessandro Miressi,47.86,4
Tokyo,2020,100,Freestyle,0,Men,ROU,David Popovici,48.04,4
Tokyo,2020,100,Freestyle,0,Men,HUN,Nandor Nemeth,48.1,4
Tokyo,2020,1500,Freestyle,0,Men,USA,Robert Finke,14:39.7,1
Tokyo,2020,1500,Freestyle,0,Men,UKR,Mykhailo Romanchuk,14:40.7,2
Tokyo,2020,1500,Freestyle,0,Men,GER,Florian Wellbrock,14:40.9,3
Tokyo,2020,1500,Freestyle,0,Men,ITA,Gregorio Paltrinieri,14:45.0,4
Tokyo,2020,1500,Freestyle,0,Men,GBR,Daniel Jervis,14:55.5,4
Tokyo,2020,1500,Freestyle,0,Men,ROC,Kirill Martynychev,14:55.9,4
Tokyo,2020,1500,Freestyle,0,Men,AUT,Felix Auboeck,15:03.5,4
Tokyo,2020,1500,Freestyle,0,Men,UKR,Serhii Frolov,15:04.3,4
Tokyo,2020,200,Backstroke,0,Men,ROC,Evgeny Rylov,01:53.3,1
Tokyo,2020,200,Backstroke,0,Men,USA,Ryan Murphy,01:54.2,2
Tokyo,2020,200,Backstroke,0,Men,GBR,Luke Greenbank,01:54.7,3
Tokyo,2020,200,Backstroke,0,Men,USA,Bryce Mefford,01:55.5,4
Tokyo,2020,200,Backstroke,0,Men,HUN,Adam Telegdy,01:56.2,4
Tokyo,2020,200,Backstroke,0,Men,POL,Radoslaw Kawecki,01:56.4,4
Tokyo,2020,200,Backstroke,0,Men,JPN,Ryosuke Irie,01:57.3,4
Tokyo,2020,200,Backstroke,0,Men,ESP,Nicolas Garcia Saiz,01:59.1,4
Tokyo,2020,200,Breaststroke,0,Men,AUS,Izaac Stubblety-Cook,02:06.4,1
Tokyo,2020,200,Breaststroke,0,Men,NED,Arno Kamminga,02:07.0,2
Tokyo,2020,200,Breaststroke,0,Men,FIN,Matti Mattsson,02:07.1,3
Tokyo,2020,200,Breaststroke,0,Men,ROC,Anton Chupkov,02:07.2,4
